TP,TN,FP,FN
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,,3,
,,2,
4,,,
4,,,
4,,,
,,2,
,,2,
,,2,
,,1,
,,1,
,,1,
,,1,
,,1,
,,1,
,2,,
,1,,
,,2,
,1,,
,1,,
,,2,
,,2,
,,2,
,,1,
,,1,
,1,,
,,1,
,,1,
,,1,
,,1,
,,1,
,,2,
,,2,
,,1,
4,,,
,,2,
,,2,
,,1,
,,1,
,2,,
,,1,
