TP,TN,FP,FN
,,4,
,,2,
4,,,
,,,4
,4,,
4,,,
4,,,
2,,
,2,
,2,,
4,,,
,,,4
,,4,
,,4,
4,,,
,4,,
4,,,
4,,,
,4,,
4,,,
,2,,
4,,,
4,,,
4,,,
,3,,
4,,,
4,,,
4,,,
4,,,
,,4,
,,,4
,2,,
4,,,
,,4,
,,,4
,2,,
,,1,
,,4,
,4,,
,4,,
4,,,
,,4,
,,,4
,,,4
,,,4
,,4,
4,,,
,4,,
4,,,
4,,,
