TP,TN,FP,FN
,4,,
,,,1
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
,,2,
,,,2
,2,,
,4,,
4,,,
,2,,
4,,,
4,,,
4,,,
,,,2
4,,,
,2,,
,2,,
,2,,
4,,,
,,2,
,2,,
4,,,
,2,,
4,,,
,,,1
4,,,
4,,,
4,,,
4,,,
,2,,
,2,,
4,,,
,,2,
4,,,
4,,,
4,,,
,2,,
,4,,
4,,,
,,2,
4,,,
4,,,
4,,,
,2,,
,3,,
4,,,
